config,n_features,max_cost,dev_ndcg,diff_vs_best,tied_with_best,pred_std,chosen
oracle,0,0,0.7406662702560425,0.05780628323554993,False,0.0,False
f10|elasticnet|regression,10,3,0.6828599572181702,0.0,True,0.16481022489272412,False
f5|elasticnet|regression,5,3,0.6826926469802856,-0.0001673849910730496,True,0.16138487815528427,False
f3|extra_trees|multibin,3,2,0.6825552582740784,-0.00030478049302473664,True,0.16186516225216577,True
f5|extra_trees|regression,5,3,0.6824851632118225,-0.0003748229064512998,True,0.15711821046181265,False
f31|catboost|multibin,31,3,0.6824632883071899,-0.00039676757296547294,True,0.1683023057020612,False
f3|extra_trees|binary,3,2,0.6822732090950012,-0.0005868077860213816,True,0.16205772581207406,False
f10|logreg|multibin,10,3,0.682263970375061,-0.0005959808477200568,True,0.1625005369293952,False
f10|extra_trees|multibin,10,3,0.6822295188903809,-0.0006304956041276455,True,0.15761403582167,False
f31|catboost|regression,31,3,0.6820979118347168,-0.0007621137774549425,True,0.16794560445095397,False
f3|extra_trees|regression,3,2,0.6820736527442932,-0.0007863623322919011,True,0.1718065927984679,False
f5|logreg|multibin,5,3,0.6820661425590515,-0.0007938584894873202,True,0.16505595282192265,False
f31|lightgbm|regression,31,3,0.6820573806762695,-0.0008026217110455036,True,0.15610121025555648,False
f5|extra_trees|binary,5,3,0.6820099353790283,-0.0008500736439600587,True,0.1614801986292737,False
f10|extra_trees|regression,10,3,0.6820093989372253,-0.0008506195154041052,True,0.1529762580662097,False
f31|hist_gbdt|multibin,31,3,0.6819192171096802,-0.0009407612960785627,True,0.1647173276980337,False
f3|elasticnet|regression,3,2,0.6819024085998535,-0.0009576206794008613,True,0.1507903612455956,False
f3|logreg|multibin,3,2,0.6818603873252869,-0.0009996166918426752,True,0.16497023527833468,False
f5|extra_trees|multibin,5,3,0.6818585395812988,-0.0010014540748670697,True,0.14749657700504118,False
f10|catboost|multibin,10,3,0.6818363070487976,-0.0010236940579488873,True,0.16849136363660494,False
f31|lightgbm|multibin,31,3,0.6818325519561768,-0.001027435064315796,True,0.1537098347215229,False
f3|catboost|multibin,3,2,0.6817196607589722,-0.0011403090320527554,True,0.16277193503960397,False
f31|random_forest|multibin,31,3,0.6817160248756409,-0.001143969944678247,True,0.17127884985975986,False
f31|xgboost|multibin,31,3,0.681614339351654,-0.0012456367257982492,True,0.17142916763094898,False
f3|logreg|binary,3,2,0.6816051602363586,-0.0012547967489808798,True,0.16190752035300018,False
f5|logreg|binary,5,3,0.6814645528793335,-0.0013954347232356668,True,0.16911933188213762,False
f3|random_forest|multibin,3,2,0.6814634203910828,-0.001396547770127654,True,0.16243542345149006,False
f10|catboost|regression,10,3,0.6814628839492798,-0.0013971304288133979,True,0.16668397139672278,False
f31|elasticnet|regression,31,3,0.6814189553260803,-0.0014410095755010843,True,0.14604750167825784,False
f31|logreg|multibin,31,3,0.6813626289367676,-0.0014974225778132677,True,0.15552261324403002,False
f5|catboost|multibin,5,3,0.6813293695449829,-0.0015306472778320312,True,0.16240466324362504,False
f10|random_forest|multibin,10,3,0.6812672019004822,-0.0015928021166473627,True,0.16001728081560435,False
f10|xgboost|multibin,10,3,0.6812227368354797,-0.0016372802201658487,True,0.17009472950365837,False
f31|xgboost|regression,31,3,0.6811802387237549,-0.0016797768184915185,True,0.15194276744209947,False
f10|lightgbm|multibin,10,3,0.681145191192627,-0.0017148117767646909,True,0.16419954558670014,False
f31|extra_trees|multibin,31,3,0.6809889078140259,-0.0018710724543780088,True,0.1615779413102549,False
f5|xgboost|regression,5,3,0.6809724569320679,-0.0018875807290896773,False,0.15491557166211836,False
f31|random_forest|regression,31,3,0.680949330329895,-0.001910674967803061,True,0.16182615446985033,False
f31|extra_trees|regression,31,3,0.6809378266334534,-0.001922207185998559,True,0.1581349454780558,False
f10|extra_trees|binary,10,3,0.6809358596801758,-0.0019241045229136944,False,0.16121385611535197,False
f10|xgboost|regression,10,3,0.6806843876838684,-0.002175575587898493,False,0.16293989306034515,False
f10|hist_gbdt|multibin,10,3,0.680609405040741,-0.0022506089881062508,False,0.1662894129968748,False
f10|logreg|binary,10,3,0.6805990934371948,-0.002260955749079585,False,0.16126193117378765,False
f10|lightgbm|regression,10,3,0.6805945634841919,-0.0022654887288808823,False,0.15524988759420214,False
f5|random_forest|multibin,5,3,0.6805614233016968,-0.002298579318448901,False,0.16607795178049586,False
f3|xgboost|regression,3,2,0.6805482506752014,-0.0023117843084037304,False,0.15876283693225218,False
f31|hist_gbdt|regression,31,3,0.680422306060791,-0.002437715884298086,False,0.16053829348817278,False
f5|lightgbm|multibin,5,3,0.6803885698318481,-0.002471446990966797,False,0.1615777614303311,False
f3|lightgbm|regression,3,2,0.6803581118583679,-0.002501931507140398,False,0.15867188898609252,False
f10|random_forest|regression,10,3,0.6802680492401123,-0.002592015080153942,False,0.15924362019642374,False
f5|catboost|regression,5,3,0.680199384689331,-0.00266060046851635,False,0.1620227313490891,False
f3|mlp|multibin,3,2,0.6801888942718506,-0.002671109978109598,False,0.16557290657500182,False
f3|lightgbm|multibin,3,2,0.6801579594612122,-0.0027020354755222797,False,0.15743056540379124,False
f5|xgboost|multibin,5,3,0.6801225543022156,-0.0027374557685106993,False,0.16189858578873842,False
f3|catboost|regression,3,2,0.6800827980041504,-0.0027772285975515842,False,0.15980664183958146,False
f5|hist_gbdt|multibin,5,3,0.68002849817276,-0.0028314993251115084,False,0.15600374268357883,False
f5|lightgbm|regression,5,3,0.6800039410591125,-0.002856074133887887,False,0.15652245584476204,False
